PHP_Code,is_vulnerable,Description
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
//no_sanitizing
//flaw
$var = header(sprintf(""Location: '%s'.php"", $tainted));
?>",1,CWE_601__proc_open__no_sanitizing__header_file_name-sprintf_%s_simple_quote
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
$re = ""/^[a-zA-Z]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
//flaw
$var = http_redirect(sprintf(""'%s'"", $tainted));
?>",1,CWE_601__fopen__func_preg_match-only_letters__http_redirect_url-sprintf_%s_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$tainted = preg_replace('/\W/si','',$tainted);
//flaw
$var = http_redirect(""'$tainted'"");
?>",1,CWE_601__SESSION__func_preg_replace2__http_redirect_url-interpretation_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$re = ""/^[a-zA-Z]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
//flaw
$var = http_redirect(""'"" . $tainted . ""'"");
?>",1,CWE_601__shell_exec__func_preg_match-only_letters__http_redirect_url-concatenation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$sanitized = filter_var($tainted, FILTER_SANITIZE_EMAIL);
if (filter_var($sanitized, FILTER_VALIDATE_EMAIL))
 $tainted = $sanitized ;
else
 $tainted = """" ;
//flaw
$var = http_redirect(""'"" . $tainted . ""'"");
?>",1,CWE_601__popen__func_FILTER-CLEANING-email_filter__http_redirect_url-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input[1];
 }
 public function __construct(){
 $this->input = array();
 $this->input[0]= 'safe' ;
 $this->input[1]= $_GET['UserData'] ;
 $this->input[2]= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = htmlspecialchars($tainted, ENT_QUOTES);
//flaw
$var = header(""'Location: "" . $tainted ."".php'"");
?>",1,CWE_601__object-Array__func_htmlspecialchars__header_file_name-concatenation_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$tainted = preg_replace('/\'/', '', $tainted);
//flaw
$var = header(sprintf(""Location: '%s'"", $tainted));
?>",1,CWE_601__shell_exec__func_preg_replace__header_url-sprintf_%s_simple_quote
"<?php
$tainted = $_POST['UserData'];
$sanitized = filter_var($tainted, FILTER_SANITIZE_MAGIC_QUOTES);
 $tainted = $sanitized ;
 
//flaw
$var = http_redirect(""'"" . $tainted . ""'"");
?>",1,CWE_601__POST__func_FILTER-CLEANING-magic_quotes_filter__http_redirect_url-concatenation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
//no_sanitizing
//flaw
$var = http_redirect(""'$tainted'.php"");
?>",1,CWE_601__popen__no_sanitizing__http_redirect_file_name-interpretation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$sanitized = filter_var($tainted, FILTER_SANITIZE_EMAIL);
if (filter_var($sanitized, FILTER_VALIDATE_EMAIL))
 $tainted = $sanitized ;
else
 $tainted = """" ;
//flaw
$var = header(""'Location: "" . $tainted ."".php'"");
?>",1,CWE_601__popen__func_FILTER-CLEANING-email_filter__header_file_name-concatenation_simple_quote
